particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Net obligation for Equity F&O,2023-01-19,NSE-F&O - Z,Book Voucher,4359.654025,0.000000,9899.907519
Net obligation for Equity F&O,2023-01-20,NSE-F&O - Z,Book Voucher,0.000000,175.888520,10075.796039
Net obligation for Equity F&O,2023-01-25,NSE-F&O - Z,Book Voucher,2247.570089,0.000000,7828.225950
Net obligation for Equity F&O,2023-02-01,NSE-F&O - Z,Book Voucher,0.000000,4437.304785,12265.530735
Net obligation for Equity F&O,2023-03-01,NSE-F&O - Z,Book Voucher,4776.576255,0.000000,7488.954480
Funds added using UPI from EW1120 with reference number 306237017298    ,2023-03-03,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,12488.954480
Net obligation for Equity F&O,2023-03-03,NSE-F&O - Z,Book Voucher,0.000000,109.336766,12598.291246
Payout of 5000.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2023-03-03 with reference number 0b22ad0a2c,2023-03-03,NSE-EQ - Z,Bank Payments,5000.000000,0.000000,7598.291246
Net obligation for Equity F&O,2023-03-10,NSE-F&O - Z,Book Voucher,0.000000,10963.507620,18561.798866
Net obligation for Equity F&O,2023-03-15,NSE-F&O - Z,Book Voucher,0.000000,1047.731248,19609.530114
Net obligation for Equity F&O,2023-03-17,NSE-F&O - Z,Book Voucher,0.000000,3086.660452,22696.190566
Funds added using UPI from EW1120 with reference number 344754748678    ,2023-03-22,NSE-EQ - Z,Bank Receipts,0.000000,15000.000000,37696.190566
Net obligation for Equity F&O,2023-03-22,NSE-F&O - Z,Book Voucher,27167.545194,0.000000,10528.645372
Net obligation for Equity F&O,2023-03-23,NSE-F&O - Z,Book Voucher,0.000000,39848.888493,50377.533865
Payout of 10528.65/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2023-03-23 with reference number 5efb6a1e04,2023-03-23,NSE-EQ - Z,Bank Payments,10528.650000,0.000000,39848.883865
AMC for Demat Account for 04-02-2022 to 05-05-2022,2023-03-29,NSE-EQ - Z,Journal Entry,29.500000,0.000000,39819.383865
AMC for Demat Account for 06-05-2022 to 04-08-2022,2023-03-30,NSE-EQ - Z,Journal Entry,29.500000,0.000000,39789.883865
Net obligation for Equity F&O,2023-04-03,NSE-F&O - Z,Book Voucher,30880.533279,0.000000,8909.350586
Net obligation for Equity F&O,2023-04-05,NSE-F&O - Z,Book Voucher,0.000000,3817.654528,12727.005114
Funds added using UPI from EW1120 with reference number 346242262883    ,2023-04-06,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,22727.005114
AMC for Demat Account for 05-08-2022 to 03-11-2022,2023-04-06,NSE-EQ - Z,Journal Entry,29.500000,0.000000,22697.505114
Net obligation for Equity F&O,2023-04-06,NSE-F&O - Z,Book Voucher,11886.637541,0.000000,10810.867573
Funds transferred back as part of quarterly settlement  with reference number 28aa254d5a1a8db391656b,2023-04-06,NSE-EQ - Z,Bank Payments,10810.870000,0.000000,-0.002427
Funds added using UPI from EW1120 with reference number 346623972803    ,2023-04-10,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,9999.997573
Net obligation for Equity F&O,2023-04-10,NSE-F&O - Z,Book Voucher,9284.827784,0.000000,715.169789
Net obligation for Equity F&O,2023-04-11,NSE-F&O - Z,Book Voucher,0.000000,2422.937154,3138.106943
Net obligation for Equity F&O,2023-04-12,NSE-F&O - Z,Book Voucher,0.000000,6393.563761,9531.670704
Funds added using UPI from EW1120 with reference number 310815996455    ,2023-04-18,NSE-EQ - Z,Bank Receipts,0.000000,20000.000000,29531.670704
Net obligation for Equity F&O,2023-04-20,NSE-F&O - Z,Book Voucher,15138.960414,0.000000,14392.710290
Funds added using UPI from EW1120 with reference number 347763093789    ,2023-04-21,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,24392.710290
Net obligation for Equity F&O,2023-04-21,NSE-F&O - Z,Book Voucher,30258.029443,0.000000,-5865.319153
Funds added using UPI from EW1120 with reference number 347732287623    ,2023-04-21,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,4134.680847
Net obligation for Equity F&O,2023-04-24,NSE-F&O - Z,Book Voucher,0.000000,14896.775796,19031.456643
Net obligation for Equity F&O,2023-04-25,NSE-F&O - Z,Book Voucher,0.000000,4785.118146,23816.574789
Net obligation for Equity F&O,2023-04-26,NSE-F&O - Z,Book Voucher,6277.087177,0.000000,17539.487612
Net obligation for Equity F&O,2023-04-27,NSE-F&O - Z,Book Voucher,0.000000,1472.376693,19011.864305
Net obligation for Equity F&O,2023-04-28,NSE-F&O - Z,Book Voucher,4244.029013,0.000000,14767.835292
Net obligation for Equity F&O,2023-05-02,NSE-F&O - Z,Book Voucher,0.000000,2748.560530,17516.395822
Net obligation for Equity F&O,2023-05-03,NSE-F&O - Z,Book Voucher,0.000000,1473.282975,18989.678797
Net obligation for Equity F&O,2023-05-04,NSE-F&O - Z,Book Voucher,9993.674858,0.000000,8996.003939
Net obligation for Equity F&O,2023-05-05,NSE-F&O - Z,Book Voucher,0.000000,287.736656,9283.740595
Net obligation for Equity F&O,2023-05-08,NSE-F&O - Z,Book Voucher,7266.360049,0.000000,2017.380546
Funds added using UPI from EW1120 with reference number 312905614607    ,2023-05-09,NSE-EQ - Z,Bank Receipts,0.000000,2000.000000,4017.380546
Net obligation for Equity F&O,2023-05-09,NSE-F&O - Z,Book Voucher,0.000000,3155.488262,7172.868808
Payout of 2000.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2023-05-09 with reference number edba948e67,2023-05-09,NSE-EQ - Z,Bank Payments,2000.000000,0.000000,5172.868808
Funds added using UPI from EW1120 with reference number 349633448542    ,2023-05-10,NSE-EQ - Z,Bank Receipts,0.000000,2000.000000,7172.868808
Net obligation for Equity F&O,2023-05-10,NSE-F&O - Z,Book Voucher,2963.816137,0.000000,4209.052671
Funds added using UPI from EW1120 with reference number 313101600347    ,2023-05-11,NSE-EQ - Z,Bank Receipts,0.000000,2000.000000,6209.052671
Net obligation for Equity F&O,2023-05-11,NSE-F&O - Z,Book Voucher,5216.366840,0.000000,992.685831
AMC for Demat Account for 04-11-2022 to 02-02-2023,2023-05-15,NSE-EQ - Z,Journal Entry,88.500000,0.000000,904.185831
Net obligation for Equity F&O,2023-05-17,NSE-F&O - Z,Book Voucher,0.000000,6417.971486,7322.157317
Net obligation for Equity F&O,2023-05-22,NSE-F&O - Z,Book Voucher,326.038430,0.000000,12396.459723
Net obligation for Equity F&O,2023-05-23,NSE-F&O - Z,Book Voucher,8413.157004,0.000000,3983.302719
Funds added using UPI from EW1120 with reference number 314992311958    ,2023-05-29,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,8983.302719
Funds added using UPI from EW1120 with reference number 351538316355    ,2023-05-29,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,18983.302719
Funds added using UPI from EW1120 with reference number 314952511883    ,2023-05-29,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,23983.302719
Net obligation for Equity F&O,2023-05-29,NSE-F&O - Z,Book Voucher,2340.546131,0.000000,21642.756588
Net obligation for Equity F&O,2023-05-30,NSE-F&O - Z,Book Voucher,18801.862667,0.000000,2840.893921
DP Charges for Sale of TATAMOTORS on 01/06/2023,2023-06-01,NSE-EQ - Z,Journal Entry,15.930000,0.000000,2824.963921
Net settlement for Equity with settlement number: 2023102,2023-06-01,NSE-EQ - Z,Book Voucher,0.000000,33669.456982,36494.420903
Net obligation for Equity F&O,2023-06-01,NSE-F&O - Z,Book Voucher,0.000000,667.197243,37161.618146
Net obligation for Equity F&O,2023-06-02,NSE-F&O - Z,Book Voucher,446.528521,0.000000,36715.089625
Net obligation for Equity F&O,2023-06-05,NSE-F&O - Z,Book Voucher,11865.233665,0.000000,24849.855960
Net obligation for Equity F&O,2023-06-06,NSE-F&O - Z,Book Voucher,10161.858946,0.000000,14687.997014
Net obligation for Equity F&O,2023-06-09,NSE-F&O - Z,Book Voucher,6977.749706,0.000000,7710.247308
Net obligation for Equity F&O,2023-06-12,NSE-F&O - Z,Book Voucher,0.000000,655.333310,8365.580618
Net obligation for Equity F&O,2023-06-20,NSE-F&O - Z,Book Voucher,3825.868904,0.000000,4539.711714
Funds added using UPI from EW1120 with reference number 353864611876    ,2023-06-21,NSE-EQ - Z,Bank Receipts,0.000000,2500.000000,7039.711714
Net obligation for Equity F&O,2023-06-21,NSE-F&O - Z,Book Voucher,750.049671,0.000000,6289.662043
Net settlement for Equity with settlement number: 2023118,2023-06-23,NSE-EQ - Z,Book Voucher,0.000000,1294.631209,7584.293252
DP Charges for Sale of ARVIND on 23/06/2023,2023-06-23,NSE-EQ - Z,Journal Entry,15.930000,0.000000,7568.363252
Net obligation for Equity F&O,2023-06-27,NSE-F&O - Z,Book Voucher,0.000000,6386.335645,13954.698897
Net settlement for Equity with settlement number: 2023121,2023-06-28,NSE-EQ - Z,Book Voucher,12110.504228,0.000000,1844.194669
Net obligation for Equity F&O,2023-06-28,NSE-F&O - Z,Book Voucher,1798.262802,0.000000,45.931867
DP Charges for Sale of DMCC on 30/06/2023,2023-06-30,NSE-EQ - Z,Journal Entry,15.930000,0.000000,30.001867
Net settlement for Equity with settlement number: 2023122,2023-06-30,NSE-EQ - Z,Book Voucher,0.000000,2821.444986,2851.446853
AMC for Demat Account for 03-02-2023 to 04-05-2023,2023-07-03,NSE-EQ - Z,Journal Entry,88.500000,0.000000,2762.946853
Funds transferred back as part of quarterly settlement with reference number 8a4d428f52fc0d0ff041a0,2023-07-07,NSE-EQ - Z,Bank Payments,2762.950000,0.000000,-0.003147
Funds added using UPI from EW1120 with reference number 319266227156    ,2023-07-11,NSE-EQ - Z,Bank Receipts,0.000000,4000.000000,3999.996853
Net obligation for Equity F&O,2023-07-11,NSE-F&O - Z,Book Voucher,0.000000,3590.549722,7590.546575
Payout of 3590.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2023-07-12 with reference number 4a25cb61b7,2023-07-12,NSE-EQ - Z,Bank Payments,3590.000000,0.000000,4000.546575
Net obligation for Equity F&O,2023-07-13,NSE-F&O - Z,Book Voucher,0.000000,184.736610,4185.283185
Funds added using UPI from EW1120 with reference number 356149420414    ,2023-07-14,NSE-EQ - Z,Bank Receipts,0.000000,50000.000000,54185.283185
Net obligation for Equity F&O,2023-07-14,NSE-F&O - Z,Book Voucher,0.000000,1201.634322,55386.917507
Net obligation for Equity F&O,2023-07-17,NSE-F&O - Z,Book Voucher,0.000000,4029.588141,59416.505648
Net obligation for Equity F&O,2023-07-18,NSE-F&O - Z,Book Voucher,21713.317816,0.000000,37703.187832
Net obligation for Equity F&O,2023-07-19,NSE-F&O - Z,Book Voucher,10217.143408,0.000000,27486.044424
Net obligation for Equity F&O,2023-07-20,NSE-F&O - Z,Book Voucher,0.000000,2877.210248,30363.254672
DP Charges for Sale of RAILTEL on 21/07/2023,2023-07-21,NSE-EQ - Z,Journal Entry,15.930000,0.000000,30347.324672
Net settlement for Equity with settlement number: 2023137,2023-07-21,NSE-EQ - Z,Book Voucher,0.000000,6915.957601,37263.282273
Net obligation for Equity F&O,2023-07-21,NSE-F&O - Z,Book Voucher,35562.120762,0.000000,1701.161511
Net settlement for Equity with settlement number: 2023138,2023-07-24,NSE-EQ - Z,Book Voucher,0.000000,6773.205645,8474.367156
DP Charges for Sale of RAILTEL on 24/07/2023,2023-07-24,NSE-EQ - Z,Journal Entry,15.930000,0.000000,8458.437156
Net obligation for Equity F&O,2023-07-24,NSE-F&O - Z,Book Voucher,0.000000,17724.805881,26183.243037
Net obligation for Equity F&O,2023-07-25,NSE-F&O - Z,Book Voucher,0.000000,2452.717178,28635.960215
Net obligation for Equity F&O,2023-07-26,NSE-F&O - Z,Book Voucher,2713.199799,0.000000,25922.760416
Net obligation for Equity F&O,2023-07-27,NSE-F&O - Z,Book Voucher,0.000000,6338.851972,32261.612388
Net settlement for Equity with settlement number: 2023142,2023-07-28,NSE-EQ - Z,Book Voucher,16999.899967,0.000000,15261.712421
Net obligation for Equity F&O,2023-07-28,NSE-F&O - Z,Book Voucher,0.000000,4135.138902,19396.851323
Payout of 15261.71/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2023-07-28 with reference number e601094434,2023-07-28,NSE-EQ - Z,Bank Payments,15261.710000,0.000000,4135.141323
Net obligation for Equity F&O,2023-05-18,NSE-F&O - Z,Book Voucher,0.000000,5400.340836,12722.498153
Net obligation for Equity F&O,2023-07-31,NSE-F&O - Z,Book Voucher,262.081698,0.000000,3873.059625
Net obligation for Equity F&O,2023-08-01,NSE-F&O - Z,Book Voucher,276.920995,0.000000,3596.138630
Funds added using UPI from EW1120 with reference number 358197612990    ,2023-08-03,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,13596.138630
Net obligation for Equity F&O,2023-08-03,NSE-F&O - Z,Book Voucher,0.000000,4158.779700,17754.918330
Net obligation for Equity F&O,2023-08-04,NSE-F&O - Z,Book Voucher,0.000000,5283.750747,23038.669077
Payout of 12000.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2023-08-04 with reference number 3d185484cd,2023-08-04,NSE-EQ - Z,Bank Payments,12000.000000,0.000000,11038.669077
Net obligation for Equity F&O,2023-08-07,NSE-F&O - Z,Book Voucher,0.000000,2765.531810,13804.200887
Funds added using UPI from EW1120 with reference number 322028225017    ,2023-08-08,NSE-EQ - Z,Bank Receipts,0.000000,20000.000000,33804.200887
Net obligation for Equity F&O,2023-08-08,NSE-F&O - Z,Book Voucher,0.000000,5037.168128,38841.369015
Net obligation for Equity F&O,2023-08-09,NSE-F&O - Z,Book Voucher,12596.705771,0.000000,26244.663244
Net obligation for Equity F&O,2023-08-10,NSE-F&O - Z,Book Voucher,0.000000,522.130265,26766.793509
Funds added using UPI from EW1120 with reference number 358910266540    ,2023-08-11,NSE-EQ - Z,Bank Receipts,0.000000,20000.000000,46766.793509
Net obligation for Equity F&O,2023-08-11,NSE-F&O - Z,Book Voucher,0.000000,12399.530994,59166.324503
Payout of 45000.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2023-08-12 with reference number a7e91bd2c4,2023-08-12,NSE-EQ - Z,Bank Payments,45000.000000,0.000000,14166.324503
Funds added using UPI from EW1120 with reference number 359276983666    ,2023-08-14,NSE-EQ - Z,Bank Receipts,0.000000,20000.000000,34166.324503
Net obligation for Equity F&O,2023-08-14,NSE-F&O - Z,Book Voucher,23198.387652,0.000000,10967.936851
Funds added using UPI from EW1120 with reference number 359459257022    ,2023-08-16,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,20967.936851
Net obligation for Equity F&O,2023-08-16,NSE-F&O - Z,Book Voucher,21559.575271,0.000000,-591.638420
Net obligation for Equity F&O,2023-08-17,NSE-F&O - Z,Book Voucher,0.000000,18523.319774,17931.681354
Net obligation for Equity F&O,2023-08-18,NSE-F&O - Z,Book Voucher,0.000000,1424.546038,19356.227392
Funds added using UPI from EW1120 with reference number 323324422059    ,2023-08-21,NSE-EQ - Z,Bank Receipts,0.000000,20000.000000,39356.227392
Net obligation for Equity F&O,2023-08-21,NSE-F&O - Z,Book Voucher,38180.278666,0.000000,1175.948726
Net obligation for Equity F&O,2023-08-22,NSE-F&O - Z,Book Voucher,0.000000,4323.707424,5499.656150
Net obligation for Equity F&O,2023-08-24,NSE-F&O - Z,Book Voucher,0.000000,2060.235162,7559.891312
Net obligation for Equity F&O,2023-08-28,NSE-F&O - Z,Book Voucher,7670.832524,0.000000,-110.941212
Net obligation for Equity F&O,2023-08-29,NSE-F&O - Z,Book Voucher,0.000000,6509.091127,6398.149915
Funds added using UPI from EW1120 with reference number 360879124283    ,2023-08-30,NSE-EQ - Z,Bank Receipts,0.000000,20000.000000,26398.149915
Funds added using UPI from EW1120 with reference number 360814116199    ,2023-08-30,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,36398.149915
Funds added using UPI from EW1120 with reference number 360887532460    ,2023-08-30,NSE-EQ - Z,Bank Receipts,0.000000,30000.000000,66398.149915
Net obligation for Equity F&O,2023-08-30,NSE-F&O - Z,Book Voucher,65652.217596,0.000000,745.932319
Net obligation for Equity F&O,2023-08-31,NSE-F&O - Z,Book Voucher,0.000000,22069.212498,22815.144817
Payout of 21000.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2023-09-01 with reference number 215fd986a3,2023-09-01,NSE-EQ - Z,Bank Payments,21000.000000,0.000000,1815.144817
Net obligation for Equity F&O,2023-09-05,NSE-F&O - Z,Book Voucher,0.000000,3.769867,1818.914684
Net obligation for Equity F&O,2023-09-06,NSE-F&O - Z,Book Voucher,329.126692,0.000000,1489.787992
Net obligation for Equity F&O,2023-09-07,NSE-F&O - Z,Book Voucher,389.123328,0.000000,1100.664664
Net obligation for Equity F&O,2023-09-08,NSE-F&O - Z,Book Voucher,0.000000,298.583020,1399.247684
Net obligation for Equity F&O,2023-09-11,NSE-F&O - Z,Book Voucher,177.957760,0.000000,1221.289924
Net obligation for Equity F&O,2023-09-13,NSE-F&O - Z,Book Voucher,280.156101,0.000000,941.133823
Funds added using UPI from EW1120 with reference number 362375535974    ,2023-09-14,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,5941.133823
Net obligation for Equity F&O,2023-09-14,NSE-F&O - Z,Book Voucher,0.000000,151.691588,6092.825411
Net obligation for Equity F&O,2023-09-15,NSE-F&O - Z,Book Voucher,0.000000,4815.217720,10908.043131
Net obligation for Equity F&O,2023-09-18,NSE-F&O - Z,Book Voucher,0.000000,590.345827,11498.388958
Payout of 9000.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2023-09-16 with reference number f01dca09e7,2023-09-18,NSE-EQ - Z,Bank Payments,9000.000000,0.000000,2498.388958
Net obligation for Equity F&O,2023-09-20,NSE-F&O - Z,Book Voucher,0.000000,59.448606,2557.837564
Funds added using UPI from EW1120 with reference number 326426123263    ,2023-09-21,NSE-EQ - Z,Bank Receipts,0.000000,4000.000000,6557.837564
Funds added using UPI from EW1120 with reference number 363004125973    ,2023-09-21,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,11557.837564
Funds added using UPI from EW1120 with reference number 363010823448    ,2023-09-21,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,21557.837564
Net obligation for Equity F&O,2023-09-21,NSE-F&O - Z,Book Voucher,3905.019586,0.000000,17652.817978
Funds added using UPI from EW1120 with reference number 326553762267    ,2023-09-22,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,27652.817978
Net obligation for Equity F&O,2023-09-22,NSE-F&O - Z,Book Voucher,9754.988354,0.000000,17897.829624
Net obligation for Equity F&O,2023-09-25,NSE-F&O - Z,Book Voucher,0.000000,3318.429819,21216.259443
Net obligation for Equity F&O,2023-09-26,NSE-F&O - Z,Book Voucher,2732.506680,0.000000,18483.752763
Net obligation for Equity F&O,2023-09-27,NSE-F&O - Z,Book Voucher,0.000000,3975.458220,22459.210983
Funds added using UPI from EW1120 with reference number 327138505540    ,2023-09-28,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,32459.210983
Net obligation for Equity F&O,2023-09-28,NSE-F&O - Z,Book Voucher,33083.377372,0.000000,-624.166389
DP Charges for Sale of RBLBANK on 29/09/2023,2023-09-29,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-640.096389
Net settlement for Equity with settlement number: 2023185,2023-09-29,NSE-EQ - Z,Book Voucher,0.000000,1234.432071,594.335682
Net obligation for Equity F&O,2023-09-29,NSE-F&O - Z,Book Voucher,0.000000,1893.835039,2488.170721
AMC for Demat Account for 05-05-2023 to 03-08-2023,2023-10-02,NSE-EQ - Z,Journal Entry,88.500000,0.000000,2399.670721
Net obligation for Equity F&O,2023-10-03,NSE-F&O - Z,Book Voucher,0.000000,1972.327740,4371.998461
Net obligation for Equity F&O,2023-10-04,NSE-F&O - Z,Book Voucher,2586.349591,0.000000,1785.648870
Net obligation for Equity F&O,2023-10-05,NSE-F&O - Z,Book Voucher,574.728590,0.000000,1210.920280
Funds transferred back as part of quarterly settlement  with reference number 947f9bcc9afcf5cbf43c9c,2023-10-06,NSE-EQ - Z,Bank Payments,1210.920280,0.000000,0.000000
Funds added using UPI from EW1120 with reference number 364893465115    ,2023-10-09,NSE-EQ - Z,Bank Receipts,0.000000,1000.000000,1000.000000
Funds added using UPI from EW1120 with reference number 328312328012    ,2023-10-10,NSE-EQ - Z,Bank Receipts,0.000000,2000.000000,3000.000000
Net obligation for Equity F&O,2023-10-10,NSE-F&O - Z,Book Voucher,0.000000,244.760165,3244.760165
Net obligation for Equity F&O,2023-10-11,NSE-F&O - Z,Book Voucher,145.188052,0.000000,3099.572113
Net obligation for Equity F&O,2023-10-12,NSE-F&O - Z,Book Voucher,0.000000,325.053541,3424.625654
Net obligation for Equity F&O,2023-10-16,NSE-F&O - Z,Book Voucher,0.000000,304.268729,3728.894383
Funds added using UPI from EW1120 with reference number 329067114547    ,2023-10-17,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,8728.894383
Net obligation for Equity F&O,2023-10-17,NSE-F&O - Z,Book Voucher,0.000000,715.292011,9444.186394
Net obligation for Equity F&O,2023-10-18,NSE-F&O - Z,Book Voucher,0.000000,6321.913598,15766.099992
Net obligation for Equity F&O,2023-10-19,NSE-F&O - Z,Book Voucher,9507.549567,0.000000,6258.550425
Net obligation for Equity F&O,2023-10-20,NSE-F&O - Z,Book Voucher,2125.985424,0.000000,4132.565001
DP Charges for Sale of IPCALAB on 23/10/2023,2023-10-23,NSE-EQ - Z,Journal Entry,15.930000,0.000000,4116.635001
Net settlement for Equity with settlement number: 2023200,2023-10-23,NSE-EQ - Z,Book Voucher,0.000000,19754.289813,23870.924814
Net obligation for Equity F&O,2023-10-23,NSE-F&O - Z,Book Voucher,0.000000,3189.159264,27060.084078
Net obligation for Equity F&O,2023-10-25,NSE-F&O - Z,Book Voucher,7742.805047,0.000000,19317.279031
Net obligation for Equity F&O,2023-10-26,NSE-F&O - Z,Book Voucher,0.000000,406.449600,19723.728631
Net obligation for Equity F&O,2023-10-27,NSE-F&O - Z,Book Voucher,13323.019114,0.000000,6400.709517
Net obligation for Equity F&O,2023-10-30,NSE-F&O - Z,Book Voucher,0.000000,903.843124,7304.552641
Net obligation for Equity F&O,2023-10-31,NSE-F&O - Z,Book Voucher,0.000000,43.839676,7348.392317
Net obligation for Equity F&O,2023-11-01,NSE-F&O - Z,Book Voucher,0.000000,1392.427238,8740.819555
Net obligation for Equity F&O,2023-11-02,NSE-F&O - Z,Book Voucher,218.936258,0.000000,8521.883297
Net obligation for Equity F&O,2023-11-03,NSE-F&O - Z,Book Voucher,5785.617132,0.000000,2736.266165
Funds added using UPI from EW1120 with reference number 331066219787    ,2023-11-06,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,7736.266165
Net obligation for Equity F&O,2023-11-06,NSE-F&O - Z,Book Voucher,789.168436,0.000000,6947.097729
Net obligation for Equity F&O,2023-11-07,NSE-F&O - Z,Book Voucher,0.000000,249.915613,7197.013342
Funds added using UPI from EW1120 with reference number 367895209366    ,2023-11-08,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,17197.013342
Net obligation for Equity F&O,2023-11-08,NSE-F&O - Z,Book Voucher,0.000000,2659.441968,19856.455310
Funds added using UPI from EW1120 with reference number 367967964349    ,2023-11-09,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,29856.455310
Net obligation for Equity F&O,2023-11-09,NSE-F&O - Z,Book Voucher,17521.589938,0.000000,12334.865372
Net obligation for Equity F&O,2023-11-10,NSE-F&O - Z,Book Voucher,2138.516115,0.000000,10196.349257
Net obligation for Equity F&O,2023-11-13,NSE-F&O - Z,Book Voucher,4280.820861,0.000000,5915.528396
Net obligation for Equity F&O,2023-11-16,NSE-F&O - Z,Book Voucher,0.000000,2569.874175,8485.402571
Net obligation for Equity F&O,2023-11-17,NSE-F&O - Z,Book Voucher,2771.007300,0.000000,5714.395271
Net obligation for Equity F&O,2023-11-20,NSE-F&O - Z,Book Voucher,2317.648254,0.000000,3396.747017
Net obligation for Equity F&O,2023-11-21,NSE-F&O - Z,Book Voucher,2452.011742,0.000000,944.735275
Net obligation for Equity F&O,2023-11-22,NSE-F&O - Z,Book Voucher,223.596288,0.000000,721.138987
Net obligation for Equity F&O,2023-11-29,NSE-F&O - Z,Book Voucher,0.000000,126.312424,847.451411
Net obligation for Equity F&O,2023-12-01,NSE-F&O - Z,Book Voucher,182.771709,0.000000,664.679702
AMC for Demat Account for 04-08-2023 to 02-11-2023,2024-01-01,NSE-EQ - Z,Journal Entry,88.500000,0.000000,576.179702
Net settlement for Equity with settlement number: 2024001,2024-01-01,NSE-EQ - Z,Book Voucher,0.000000,18892.629005,19468.808707
DP Charges for Sale of YESBANK on 01/01/2024,2024-01-01,NSE-EQ - Z,Journal Entry,15.930000,0.000000,19452.878707
Net settlement for Equity with settlement number: 2024003,2024-01-03,NSE-EQ - Z,Book Voucher,6583.279468,0.000000,12869.599239
Net settlement for Equity with settlement number: 2024005,2024-01-05,NSE-EQ - Z,Book Voucher,6923.670801,0.000000,5945.928438
Funds added using UPI from EW1120 with reference number 437429199689    ,2024-01-08,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,15945.928438
Net obligation for Equity F&O,2024-01-09,NSE-F&O - Z,Book Voucher,0.000000,478.782601,16424.711039
Net obligation for Equity F&O,2024-01-10,NSE-F&O - Z,Book Voucher,0.000000,1996.543680,18421.254719
Net obligation for Equity F&O,2024-01-11,NSE-F&O - Z,Book Voucher,0.000000,2783.367247,21204.621966
Net obligation for Equity F&O,2024-01-12,NSE-F&O - Z,Book Voucher,833.446036,0.000000,20371.175930
Payout of 12000.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2024-01-12 with reference number 803720be19,2024-01-12,NSE-EQ - Z,Bank Payments,12000.000000,0.000000,8371.175930
Funds added using UPI from EW1120 with reference number 401590144232    ,2024-01-15,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,18371.175930
Net obligation for Equity F&O,2024-01-15,NSE-F&O - Z,Book Voucher,0.000000,274.270537,18645.446467
Net obligation for Equity F&O,2024-01-16,NSE-F&O - Z,Book Voucher,0.000000,1152.646511,19798.092978
Net obligation for Equity F&O,2024-01-17,NSE-F&O - Z,Book Voucher,0.000000,478.328877,20276.421855
Net obligation for Equity F&O,2024-01-18,NSE-F&O - Z,Book Voucher,9952.931877,0.000000,10323.489978
Funds added using UPI from EW1120 with reference number 438594302591    ,2024-01-19,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,15323.489978
Net obligation for Equity F&O,2024-01-19,NSE-F&O - Z,Book Voucher,89.601117,0.000000,15233.888861
Net obligation for Equity F&O,2024-01-23,NSE-F&O - Z,Book Voucher,0.000000,4883.122238,20117.011099
Payout of 10000.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2024-01-23 with reference number 00747c59ab,2024-01-23,NSE-EQ - Z,Bank Payments,10000.000000,0.000000,10117.011099
Funds added using UPI from EW1120 with reference number 439070602627    ,2024-01-24,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,20117.011099
Net obligation for Equity F&O,2024-01-24,NSE-F&O - Z,Book Voucher,1196.823770,0.000000,18920.187329
Net obligation for Equity F&O,2024-01-25,NSE-F&O - Z,Book Voucher,0.000000,3968.198470,22888.385799
Payout of 12000.0/- to BANK OF BARODA 31520100000401 A/C number as per withdrawal request made on 2024-01-25 with reference number aeb974af36,2024-01-25,NSE-EQ - Z,Bank Payments,12000.000000,0.000000,10888.385799
DP Charges for Sale of HCLTECH on 29/01/2024,2024-01-29,NSE-EQ - Z,Journal Entry,15.930000,0.000000,10872.455799
